"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037240200, CA","06037240200","=""06037240200""","17.14"
"06037501504, CA","06037501504","=""06037501504""","15.52"
"06037603102, CA","06037603102","=""06037603102""","6.90"
"06037234700, CA","06037234700","=""06037234700""","11.96"
"06037273800, CA","06037273800","=""06037273800""","1.20"
"06037216800, CA","06037216800","=""06037216800""","1.88"
"06037481712, CA","06037481712","=""06037481712""","3.15"
"06037530203, CA","06037530203","=""06037530203""","11.57"
"06037570603, CA","06037570603","=""06037570603""","15.58"
"06037433902, CA","06037433902","=""06037433902""","11.31"
"06037265420, CA","06037265420","=""06037265420""","0.53"
"06037553400, CA","06037553400","=""06037553400""","4.80"
"06037189800, CA","06037189800","=""06037189800""","0.70"
"06037232700, CA","06037232700","=""06037232700""","13.03"
"06037551401, CA","06037551401","=""06037551401""","11.80"
"06037482503, CA","06037482503","=""06037482503""","3.63"
"06037191902, CA","06037191902","=""06037191902""","0.00"
"06037219020, CA","06037219020","=""06037219020""","3.15"
"06037301801, CA","06037301801","=""06037301801""","10.11"
"06037131702, CA","06037131702","=""06037131702""","3.83"
"06037122120, CA","06037122120","=""06037122120""","7.73"
"06037433901, CA","06037433901","=""06037433901""","18.00"
"06037405203, CA","06037405203","=""06037405203""","4.91"
"06037602104, CA","06037602104","=""06037602104""","7.82"
"06037224600, CA","06037224600","=""06037224600""","16.24"
"06037240020, CA","06037240020","=""06037240020""","18.08"
"06037482702, CA","06037482702","=""06037482702""","5.61"
"06037243000, CA","06037243000","=""06037243000""","8.30"
"06037141304, CA","06037141304","=""06037141304""","1.69"
"06037541801, CA","06037541801","=""06037541801""","12.63"
"06037554302, CA","06037554302","=""06037554302""","11.45"
"06037104203, CA","06037104203","=""06037104203""","13.77"
"06037127104, CA","06037127104","=""06037127104""","13.33"
"06037122410, CA","06037122410","=""06037122410""","7.69"
"06037191710, CA","06037191710","=""06037191710""","19.37"
"06037291110, CA","06037291110","=""06037291110""","13.73"
"06037294301, CA","06037294301","=""06037294301""","11.92"
"06037552601, CA","06037552601","=""06037552601""","12.31"
"06037183221, CA","06037183221","=""06037183221""","6.65"
"06037271702, CA","06037271702","=""06037271702""","2.06"
"06037531902, CA","06037531902","=""06037531902""","18.34"
"06037433403, CA","06037433403","=""06037433403""","25.60"
"06037115403, CA","06037115403","=""06037115403""","7.13"
"06037132501, CA","06037132501","=""06037132501""","8.38"
"06037241002, CA","06037241002","=""06037241002""","19.25"
"06037552002, CA","06037552002","=""06037552002""","10.57"
"06037218900, CA","06037218900","=""06037218900""","15.37"
"06037141201, CA","06037141201","=""06037141201""","1.46"
"06037101220, CA","06037101220","=""06037101220""","10.61"
"06037302301, CA","06037302301","=""06037302301""","4.92"
"06037197700, CA","06037197700","=""06037197700""","5.14"
"06037141202, CA","06037141202","=""06037141202""","1.14"
"06037462302, CA","06037462302","=""06037462302""","3.34"
"06037555212, CA","06037555212","=""06037555212""","9.22"
"06037104403, CA","06037104403","=""06037104403""","7.82"
"06037533602, CA","06037533602","=""06037533602""","7.11"
"06037700200, CA","06037700200","=""06037700200""","1.08"
"06037531101, CA","06037531101","=""06037531101""","16.20"
"06037291120, CA","06037291120","=""06037291120""","11.42"
"06037125402, CA","06037125402","=""06037125402""","0.93"
"06037199400, CA","06037199400","=""06037199400""","11.36"
"06037402304, CA","06037402304","=""06037402304""","12.05"
"06037404902, CA","06037404902","=""06037404902""","6.26"
"06037601900, CA","06037601900","=""06037601900""","13.00"
"06037651221, CA","06037651221","=""06037651221""","3.58"
"06037576200, CA","06037576200","=""06037576200""","9.04"
"06037240401, CA","06037240401","=""06037240401""","20.26"
"06037128302, CA","06037128302","=""06037128302""","14.42"
"06037273700, CA","06037273700","=""06037273700""","0.00"
"06037107010, CA","06037107010","=""06037107010""","3.95"
"06037600602, CA","06037600602","=""06037600602""","16.24"
"06037700802, CA","06037700802","=""06037700802""","3.48"
"06037194500, CA","06037194500","=""06037194500""","0.53"
"06037127806, CA","06037127806","=""06037127806""","14.02"
"06037603006, CA","06037603006","=""06037603006""","6.79"
"06037104401, CA","06037104401","=""06037104401""","9.34"
"06037192410, CA","06037192410","=""06037192410""","0.41"
"06037573902, CA","06037573902","=""06037573902""","1.52"
"06037434004, CA","06037434004","=""06037434004""","13.46"
"06037128601, CA","06037128601","=""06037128601""","12.16"
"06037600911, CA","06037600911","=""06037600911""","2.58"
"06037554203, CA","06037554203","=""06037554203""","9.74"
"06037408630, CA","06037408630","=""06037408630""","1.31"
"06037183104, CA","06037183104","=""06037183104""","1.69"
"06037216100, CA","06037216100","=""06037216100""","1.13"
"06037700101, CA","06037700101","=""06037700101""","1.63"
"06037240600, CA","06037240600","=""06037240600""","21.96"
"06037570702, CA","06037570702","=""06037570702""","1.77"
"06037404504, CA","06037404504","=""06037404504""","19.83"
"06037218220, CA","06037218220","=""06037218220""","10.40"
"06037534501, CA","06037534501","=""06037534501""","18.89"
"06037554301, CA","06037554301","=""06037554301""","2.84"
"06037531702, CA","06037531702","=""06037531702""","15.61"
"06037530204, CA","06037530204","=""06037530204""","3.49"
"06037301502, CA","06037301502","=""06037301502""","2.56"
"06037123902, CA","06037123902","=""06037123902""","4.47"
"06037603801, CA","06037603801","=""06037603801""","11.93"
"06037530602, CA","06037530602","=""06037530602""","23.49"
"06037131701, CA","06037131701","=""06037131701""","6.07"
"06037463300, CA","06037463300","=""06037463300""","3.48"
"06037241120, CA","06037241120","=""06037241120""","17.29"
"06037294421, CA","06037294421","=""06037294421""","13.87"
"06037701602, CA","06037701602","=""06037701602""","3.26"
"06037530006, CA","06037530006","=""06037530006""","9.71"
"06037221220, CA","06037221220","=""06037221220""","20.04"
"06037433102, CA","06037433102","=""06037433102""","16.80"
"06037404503, CA","06037404503","=""06037404503""","6.19"
"06037183103, CA","06037183103","=""06037183103""","3.66"
"06037203100, CA","06037203100","=""06037203100""","14.29"
"06037532603, CA","06037532603","=""06037532603""","18.58"
"06037231300, CA","06037231300","=""06037231300""","13.13"
"06037554204, CA","06037554204","=""06037554204""","3.89"
"06037218400, CA","06037218400","=""06037218400""","18.51"
"06037604001, CA","06037604001","=""06037604001""","6.25"
"06037701701, CA","06037701701","=""06037701701""","0.92"
"06037481603, CA","06037481603","=""06037481603""","6.33"
"06037127220, CA","06037127220","=""06037127220""","11.66"
"06037222002, CA","06037222002","=""06037222002""","9.03"
"06037271901, CA","06037271901","=""06037271901""","4.90"
"06037197300, CA","06037197300","=""06037197300""","5.21"
"06037101210, CA","06037101210","=""06037101210""","7.01"
"06037234800, CA","06037234800","=""06037234800""","6.71"
"06037601202, CA","06037601202","=""06037601202""","5.01"
"06037127910, CA","06037127910","=""06037127910""","16.74"
"06037222500, CA","06037222500","=""06037222500""","15.08"
"06037211701, CA","06037211701","=""06037211701""","7.71"
"06037199800, CA","06037199800","=""06037199800""","11.26"
"06037222600, CA","06037222600","=""06037222600""","8.19"
"06037219300, CA","06037219300","=""06037219300""","17.23"
"06037235201, CA","06037235201","=""06037235201""","13.38"
"06037124102, CA","06037124102","=""06037124102""","4.04"
"06037128101, CA","06037128101","=""06037128101""","10.86"
"06037127920, CA","06037127920","=""06037127920""","7.51"
"06037128102, CA","06037128102","=""06037128102""","11.58"
"06037127605, CA","06037127605","=""06037127605""","12.22"
"06037134104, CA","06037134104","=""06037134104""","9.31"
"06037600501, CA","06037600501","=""06037600501""","5.51"
"06037603703, CA","06037603703","=""06037603703""","1.12"
"06037191000, CA","06037191000","=""06037191000""","3.60"
"06037603005, CA","06037603005","=""06037603005""","8.92"
"06037604002, CA","06037604002","=""06037604002""","9.13"
"06037482202, CA","06037482202","=""06037482202""","1.99"
"06037404202, CA","06037404202","=""06037404202""","6.84"
"06037543601, CA","06037543601","=""06037543601""","9.83"
"06037135113, CA","06037135113","=""06037135113""","5.91"
"06037602508, CA","06037602508","=""06037602508""","11.58"
"06037600601, CA","06037600601","=""06037600601""","4.46"
"06037573202, CA","06037573202","=""06037573202""","13.91"
"06037242000, CA","06037242000","=""06037242000""","11.55"
"06037575300, CA","06037575300","=""06037575300""","17.61"
"06037602404, CA","06037602404","=""06037602404""","11.17"
"06037204300, CA","06037204300","=""06037204300""","11.83"
"06037190700, CA","06037190700","=""06037190700""","6.45"
"06037127803, CA","06037127803","=""06037127803""","9.70"
"06037603704, CA","06037603704","=""06037603704""","18.84"
"06037502003, CA","06037502003","=""06037502003""","2.30"
"06037191500, CA","06037191500","=""06037191500""","5.37"
"06037620521, CA","06037620521","=""06037620521""","4.40"
"06037273200, CA","06037273200","=""06037273200""","6.59"
"06037577400, CA","06037577400","=""06037577400""","4.23"
"06037197500, CA","06037197500","=""06037197500""","3.32"
"06037482502, CA","06037482502","=""06037482502""","4.10"
"06037294900, CA","06037294900","=""06037294900""","18.44"
"06037127804, CA","06037127804","=""06037127804""","7.72"
"06037601100, CA","06037601100","=""06037601100""","11.12"
"06037277400, CA","06037277400","=""06037277400""","3.23"
"06037240800, CA","06037240800","=""06037240800""","16.03"
"06037531701, CA","06037531701","=""06037531701""","13.49"
"06037602105, CA","06037602105","=""06037602105""","13.54"
"06037553504, CA","06037553504","=""06037553504""","9.03"
"06037462301, CA","06037462301","=""06037462301""","10.16"
"06037123303, CA","06037123303","=""06037123303""","7.90"
"06037224700, CA","06037224700","=""06037224700""","2.74"
"06037302302, CA","06037302302","=""06037302302""","4.54"
"06037125320, CA","06037125320","=""06037125320""","2.32"
"06037543701, CA","06037543701","=""06037543701""","6.91"
"06037601002, CA","06037601002","=""06037601002""","11.62"
"06037402803, CA","06037402803","=""06037402803""","12.83"
"06037242300, CA","06037242300","=""06037242300""","23.04"
"06037603802, CA","06037603802","=""06037603802""","6.33"
"06037237101, CA","06037237101","=""06037237101""","19.16"
"06037232300, CA","06037232300","=""06037232300""","22.05"
"06037274100, CA","06037274100","=""06037274100""","0.43"
"06037132502, CA","06037132502","=""06037132502""","9.23"
"06037189102, CA","06037189102","=""06037189102""","2.43"
"06037293306, CA","06037293306","=""06037293306""","4.41"
"06037481604, CA","06037481604","=""06037481604""","12.24"
"06037602003, CA","06037602003","=""06037602003""","13.12"
"06037265601, CA","06037265601","=""06037265601""","0.51"
"06037134306, CA","06037134306","=""06037134306""","6.04"
"06037542105, CA","06037542105","=""06037542105""","9.95"
"06037231400, CA","06037231400","=""06037231400""","14.48"
"06037482304, CA","06037482304","=""06037482304""","16.77"
"06037134522, CA","06037134522","=""06037134522""","7.65"
"06037275102, CA","06037275102","=""06037275102""","7.95"
"06037531800, CA","06037531800","=""06037531800""","23.79"
"06037297602, CA","06037297602","=""06037297602""","8.64"
"06037701501, CA","06037701501","=""06037701501""","4.05"
"06037404302, CA","06037404302","=""06037404302""","4.72"
"06037127805, CA","06037127805","=""06037127805""","14.52"
"06037206300, CA","06037206300","=""06037206300""","17.18"
"06037197420, CA","06037197420","=""06037197420""","1.48"
"06037481102, CA","06037481102","=""06037481102""","6.57"
"06037601301, CA","06037601301","=""06037601301""","5.87"
"06037570303, CA","06037570303","=""06037570303""","5.85"
"06037296901, CA","06037296901","=""06037296901""","15.23"
"06037104822, CA","06037104822","=""06037104822""","12.00"
"06037542104, CA","06037542104","=""06037542104""","10.76"
"06037701502, CA","06037701502","=""06037701502""","0.52"
"06037534803, CA","06037534803","=""06037534803""","19.71"
"06037239802, CA","06037239802","=""06037239802""","14.29"
"06037700300, CA","06037700300","=""06037700300""","4.84"
"06037407400, CA","06037407400","=""06037407400""","4.95"
"06037701702, CA","06037701702","=""06037701702""","3.98"
"06037243100, CA","06037243100","=""06037243100""","22.81"
"06037123206, CA","06037123206","=""06037123206""","11.35"
"06037702802, CA","06037702802","=""06037702802""","5.75"
"06037204110, CA","06037204110","=""06037204110""","6.37"
"06037272301, CA","06037272301","=""06037272301""","0.00"
"06037195201, CA","06037195201","=""06037195201""","5.17"
"06037301501, CA","06037301501","=""06037301501""","2.17"
"06037553602, CA","06037553602","=""06037553602""","8.36"
"06037190100, CA","06037190100","=""06037190100""","1.58"
"06037240402, CA","06037240402","=""06037240402""","15.03"
"06037218110, CA","06037218110","=""06037218110""","11.43"
"06037573201, CA","06037573201","=""06037573201""","9.94"
"06037700501, CA","06037700501","=""06037700501""","2.68"
"06037540502, CA","06037540502","=""06037540502""","11.76"
"06037104610, CA","06037104610","=""06037104610""","8.53"
"06037214700, CA","06037214700","=""06037214700""","7.07"
"06037189500, CA","06037189500","=""06037189500""","2.59"
"06037432802, CA","06037432802","=""06037432802""","24.86"
"06037501803, CA","06037501803","=""06037501803""","12.89"
"06037602004, CA","06037602004","=""06037602004""","14.16"
"06037185320, CA","06037185320","=""06037185320""","14.39"
"06037535102, CA","06037535102","=""06037535102""","16.30"
"06037194402, CA","06037194402","=""06037194402""","0.64"
"06037123203, CA","06037123203","=""06037123203""","6.18"
"06037572500, CA","06037572500","=""06037572500""","19.24"
"06037273600, CA","06037273600","=""06037273600""","0.00"
"06037104105, CA","06037104105","=""06037104105""","7.53"
"06037240010, CA","06037240010","=""06037240010""","21.54"
"06037311801, CA","06037311801","=""06037311801""","6.83"
"06037134001, CA","06037134001","=""06037134001""","11.61"
"06037600201, CA","06037600201","=""06037600201""","16.05"
"06037530301, CA","06037530301","=""06037530301""","8.61"
"06037602403, CA","06037602403","=""06037602403""","11.46"
"06037601212, CA","06037601212","=""06037601212""","1.79"
"06037229420, CA","06037229420","=""06037229420""","14.04"
"06037542501, CA","06037542501","=""06037542501""","12.85"
"06037534202, CA","06037534202","=""06037534202""","21.97"
"06037574602, CA","06037574602","=""06037574602""","0.00"
"06037214600, CA","06037214600","=""06037214600""","0.00"
"06037195300, CA","06037195300","=""06037195300""","4.72"
"06037430724, CA","06037430724","=""06037430724""","2.11"
"06037204600, CA","06037204600","=""06037204600""","6.95"
"06037227010, CA","06037227010","=""06037227010""","5.05"
"06037206200, CA","06037206200","=""06037206200""","8.10"
"06037601211, CA","06037601211","=""06037601211""","12.57"
"06037214800, CA","06037214800","=""06037214800""","3.72"
"06037271802, CA","06037271802","=""06037271802""","5.15"
"06037265202, CA","06037265202","=""06037265202""","3.74"
"06037241400, CA","06037241400","=""06037241400""","11.33"
"06037191201, CA","06037191201","=""06037191201""","9.58"
"06037134710, CA","06037134710","=""06037134710""","19.21"
"06037302104, CA","06037302104","=""06037302104""","5.90"
"06037433402, CA","06037433402","=""06037433402""","21.05"
"06037297202, CA","06037297202","=""06037297202""","6.08"
"06037530601, CA","06037530601","=""06037530601""","13.16"
"06037273300, CA","06037273300","=""06037273300""","6.04"
"06037270100, CA","06037270100","=""06037270100""","1.33"
"06037408004, CA","06037408004","=""06037408004""","2.26"
"06037462202, CA","06037462202","=""06037462202""","0.81"
"06037550201, CA","06037550201","=""06037550201""","5.33"
"06037127712, CA","06037127712","=""06037127712""","14.05"
"06037534502, CA","06037534502","=""06037534502""","9.01"
"06037542103, CA","06037542103","=""06037542103""","17.47"
"06037570304, CA","06037570304","=""06037570304""","7.30"
"06037570403, CA","06037570403","=""06037570403""","13.17"
"06037231900, CA","06037231900","=""06037231900""","23.62"
"06037134903, CA","06037134903","=""06037134903""","6.44"
"06037120010, CA","06037120010","=""06037120010""","4.42"
"06037123020, CA","06037123020","=""06037123020""","8.06"
"06037211120, CA","06037211120","=""06037211120""","4.48"
"06037530802, CA","06037530802","=""06037530802""","4.81"
"06037293304, CA","06037293304","=""06037293304""","8.15"
"06037554513, CA","06037554513","=""06037554513""","0.00"
"06037265410, CA","06037265410","=""06037265410""","1.31"
"06037575201, CA","06037575201","=""06037575201""","14.00"
"06037143604, CA","06037143604","=""06037143604""","2.49"
"06037117530, CA","06037117530","=""06037117530""","15.52"
"06037128220, CA","06037128220","=""06037128220""","11.46"
"06037219500, CA","06037219500","=""06037219500""","2.95"
"06037572400, CA","06037572400","=""06037572400""","7.74"
"06037296210, CA","06037296210","=""06037296210""","14.30"
"06037531201, CA","06037531201","=""06037531201""","10.69"
"06037120020, CA","06037120020","=""06037120020""","12.76"
"06037203600, CA","06037203600","=""06037203600""","16.75"
"06037104701, CA","06037104701","=""06037104701""","4.64"
"06037120105, CA","06037120105","=""06037120105""","7.83"
"06037302103, CA","06037302103","=""06037302103""","5.69"
"06037128210, CA","06037128210","=""06037128210""","11.13"
"06037183701, CA","06037183701","=""06037183701""","4.04"
"06037534700, CA","06037534700","=""06037534700""","14.88"
"06037532800, CA","06037532800","=""06037532800""","20.04"
"06037542601, CA","06037542601","=""06037542601""","16.69"
"06037218701, CA","06037218701","=""06037218701""","9.56"
"06037301203, CA","06037301203","=""06037301203""","0.69"
"06037185203, CA","06037185203","=""06037185203""","7.38"
"06037217001, CA","06037217001","=""06037217001""","2.65"
"06037127606, CA","06037127606","=""06037127606""","13.13"
"06037533601, CA","06037533601","=""06037533601""","21.36"
"06037404903, CA","06037404903","=""06037404903""","5.87"
"06037228310, CA","06037228310","=""06037228310""","11.88"
"06037570204, CA","06037570204","=""06037570204""","10.93"
"06037503104, CA","06037503104","=""06037503104""","9.28"
"06037576301, CA","06037576301","=""06037576301""","7.97"
"06037234502, CA","06037234502","=""06037234502""","14.13"
"06037104404, CA","06037104404","=""06037104404""","9.59"
"06037183300, CA","06037183300","=""06037183300""","2.94"
"06037221401, CA","06037221401","=""06037221401""","11.48"
"06037621102, CA","06037621102","=""06037621102""","0.83"
"06037229410, CA","06037229410","=""06037229410""","6.64"
"06037186403, CA","06037186403","=""06037186403""","13.65"
"06037201601, CA","06037201601","=""06037201601""","4.49"
"06037462201, CA","06037462201","=""06037462201""","5.06"
"06037302505, CA","06037302505","=""06037302505""","7.96"
"06037609900, CA","06037609900","=""06037609900""","3.61"
"06037213100, CA","06037213100","=""06037213100""","9.22"
"06037183220, CA","06037183220","=""06037183220""","9.54"
"06037104821, CA","06037104821","=""06037104821""","12.08"
"06037602002, CA","06037602002","=""06037602002""","11.00"
"06037239310, CA","06037239310","=""06037239310""","12.49"
"06037104620, CA","06037104620","=""06037104620""","8.17"
"06037104500, CA","06037104500","=""06037104500""","2.56"
"06037408724, CA","06037408724","=""06037408724""","12.56"
"06037296220, CA","06037296220","=""06037296220""","13.24"
"06037221402, CA","06037221402","=""06037221402""","9.93"
"06037192700, CA","06037192700","=""06037192700""","8.37"
"06037501804, CA","06037501804","=""06037501804""","10.64"
"06037192001, CA","06037192001","=""06037192001""","0.70"
"06037534405, CA","06037534405","=""06037534405""","17.15"
"06037195600, CA","06037195600","=""06037195600""","3.26"
"06037143603, CA","06037143603","=""06037143603""","0.66"
"06037228600, CA","06037228600","=""06037228600""","6.82"
"06037219901, CA","06037219901","=""06037219901""","22.94"
"06037271200, CA","06037271200","=""06037271200""","5.61"
"06037125502, CA","06037125502","=""06037125502""","6.57"
"06037532605, CA","06037532605","=""06037532605""","11.47"
"06037218500, CA","06037218500","=""06037218500""","12.61"
"06037186201, CA","06037186201","=""06037186201""","12.74"
"06037221602, CA","06037221602","=""06037221602""","21.02"
"06037232200, CA","06037232200","=""06037232200""","9.24"
"06037530902, CA","06037530902","=""06037530902""","20.00"
"06037480902, CA","06037480902","=""06037480902""","11.36"
"06037232120, CA","06037232120","=""06037232120""","16.80"
"06037241300, CA","06037241300","=""06037241300""","16.26"
"06037237402, CA","06037237402","=""06037237402""","10.38"
"06037231800, CA","06037231800","=""06037231800""","20.28"
"06037600703, CA","06037600703","=""06037600703""","4.58"
"06037183620, CA","06037183620","=""06037183620""","5.53"
"06037204910, CA","06037204910","=""06037204910""","9.75"
"06037310701, CA","06037310701","=""06037310701""","3.27"
"06037203200, CA","06037203200","=""06037203200""","5.83"
"06037237401, CA","06037237401","=""06037237401""","12.15"
"06037294510, CA","06037294510","=""06037294510""","17.42"
"06037228900, CA","06037228900","=""06037228900""","21.15"
"06037183402, CA","06037183402","=""06037183402""","7.54"
"06037534101, CA","06037534101","=""06037534101""","10.50"
"06037462001, CA","06037462001","=""06037462001""","18.80"
"06037650604, CA","06037650604","=""06037650604""","3.64"
"06037462002, CA","06037462002","=""06037462002""","6.63"
"06037302202, CA","06037302202","=""06037302202""","10.11"
"06037123520, CA","06037123520","=""06037123520""","7.14"
"06037576801, CA","06037576801","=""06037576801""","7.32"
"06037239502, CA","06037239502","=""06037239502""","17.07"
"06037433305, CA","06037433305","=""06037433305""","12.34"
"06037533804, CA","06037533804","=""06037533804""","23.39"
"06037534201, CA","06037534201","=""06037534201""","14.80"
"06037214902, CA","06037214902","=""06037214902""","4.89"
"06037272302, CA","06037272302","=""06037272302""","12.30"
"06037700502, CA","06037700502","=""06037700502""","3.99"
"06037121221, CA","06037121221","=""06037121221""","2.32"
"06037433401, CA","06037433401","=""06037433401""","16.90"
"06037302002, CA","06037302002","=""06037302002""","4.99"
"06037237600, CA","06037237600","=""06037237600""","14.31"
"06037531504, CA","06037531504","=""06037531504""","6.18"
"06037229300, CA","06037229300","=""06037229300""","14.31"
"06037650003, CA","06037650003","=""06037650003""","5.67"
"06037183510, CA","06037183510","=""06037183510""","3.07"
"06037123410, CA","06037123410","=""06037123410""","6.50"
"06037119320, CA","06037119320","=""06037119320""","12.23"
"06037302201, CA","06037302201","=""06037302201""","2.03"
"06037531102, CA","06037531102","=""06037531102""","22.07"
"06037102105, CA","06037102105","=""06037102105""","3.04"
"06037128801, CA","06037128801","=""06037128801""","3.08"
"06037700102, CA","06037700102","=""06037700102""","11.74"
"06037535501, CA","06037535501","=""06037535501""","12.00"
"06037190901, CA","06037190901","=""06037190901""","22.91"
"06037535804, CA","06037535804","=""06037535804""","10.40"
"06037601502, CA","06037601502","=""06037601502""","12.61"
"06037404803, CA","06037404803","=""06037404803""","7.87"
"06037121801, CA","06037121801","=""06037121801""","7.79"
"06037190902, CA","06037190902","=""06037190902""","6.46"
"06037203800, CA","06037203800","=""06037203800""","14.17"
"06037430723, CA","06037430723","=""06037430723""","1.41"
"06037190802, CA","06037190802","=""06037190802""","4.31"
"06037296902, CA","06037296902","=""06037296902""","20.26"
"06037183401, CA","06037183401","=""06037183401""","5.92"
"06037650605, CA","06037650605","=""06037650605""","2.95"
"06037601801, CA","06037601801","=""06037601801""","22.94"
"06037241110, CA","06037241110","=""06037241110""","10.94"
"06037239702, CA","06037239702","=""06037239702""","29.29"
"06037533402, CA","06037533402","=""06037533402""","16.57"
"06037533002, CA","06037533002","=""06037533002""","15.08"
"06037241201, CA","06037241201","=""06037241201""","16.82"
"06037575901, CA","06037575901","=""06037575901""","9.12"
"06037297110, CA","06037297110","=""06037297110""","13.54"
"06037195710, CA","06037195710","=""06037195710""","11.78"
"06037601802, CA","06037601802","=""06037601802""","11.32"
"06037271801, CA","06037271801","=""06037271801""","1.56"
"06037535002, CA","06037535002","=""06037535002""","24.94"
"06037222200, CA","06037222200","=""06037222200""","6.61"
"06037294520, CA","06037294520","=""06037294520""","16.11"
"06037301802, CA","06037301802","=""06037301802""","3.85"
"06037575103, CA","06037575103","=""06037575103""","11.38"
"06037571704, CA","06037571704","=""06037571704""","13.68"
"06037222100, CA","06037222100","=""06037222100""","9.60"
"06037533001, CA","06037533001","=""06037533001""","15.80"
"06037533401, CA","06037533401","=""06037533401""","9.61"
"06037242600, CA","06037242600","=""06037242600""","18.18"
"06037229100, CA","06037229100","=""06037229100""","15.96"
"06037121101, CA","06037121101","=""06037121101""","14.89"
"06037222001, CA","06037222001","=""06037222001""","7.76"
"06037239501, CA","06037239501","=""06037239501""","22.22"
"06037533403, CA","06037533403","=""06037533403""","13.48"
"06037554101, CA","06037554101","=""06037554101""","9.83"
"06037601501, CA","06037601501","=""06037601501""","19.74"
"06037231720, CA","06037231720","=""06037231720""","16.86"
"06037535502, CA","06037535502","=""06037535502""","15.97"
"06037212701, CA","06037212701","=""06037212701""","8.87"
"06037535605, CA","06037535605","=""06037535605""","11.23"
"06037238320, CA","06037238320","=""06037238320""","23.71"
"06037269800, CA","06037269800","=""06037269800""","4.13"
"06037481713, CA","06037481713","=""06037481713""","8.87"
"06037194401, CA","06037194401","=""06037194401""","1.54"
"06037125501, CA","06037125501","=""06037125501""","1.91"
"06037576802, CA","06037576802","=""06037576802""","5.72"
"06037275200, CA","06037275200","=""06037275200""","5.98"
"06037221302, CA","06037221302","=""06037221302""","10.62"
"06037237102, CA","06037237102","=""06037237102""","17.94"
"06037576601, CA","06037576601","=""06037576601""","4.23"
"06037701302, CA","06037701302","=""06037701302""","2.74"
"06037120104, CA","06037120104","=""06037120104""","13.08"
"06037183810, CA","06037183810","=""06037183810""","18.13"
"06037481714, CA","06037481714","=""06037481714""","9.69"
"06037267501, CA","06037267501","=""06037267501""","1.34"
"06037276603, CA","06037276603","=""06037276603""","4.22"
"06037224410, CA","06037224410","=""06037224410""","4.77"
"06037237201, CA","06037237201","=""06037237201""","16.12"
"06037480303, CA","06037480303","=""06037480303""","10.36"
"06037239201, CA","06037239201","=""06037239201""","19.52"
"06037535001, CA","06037535001","=""06037535001""","23.85"
"06037203900, CA","06037203900","=""06037203900""","11.14"
"06037228500, CA","06037228500","=""06037228500""","32.32"
"06037531602, CA","06037531602","=""06037531602""","12.72"
"06037481711, CA","06037481711","=""06037481711""","9.11"
"06037531202, CA","06037531202","=""06037531202""","13.01"
"06037234902, CA","06037234902","=""06037234902""","15.29"
"06037219800, CA","06037219800","=""06037219800""","14.46"
"06037573003, CA","06037573003","=""06037573003""","3.05"
"06037218120, CA","06037218120","=""06037218120""","7.85"
"06037229200, CA","06037229200","=""06037229200""","16.98"
"06037600304, CA","06037600304","=""06037600304""","12.11"
"06037530901, CA","06037530901","=""06037530901""","24.36"
"06037199900, CA","06037199900","=""06037199900""","22.49"
"06037576901, CA","06037576901","=""06037576901""","9.69"
"06037236202, CA","06037236202","=""06037236202""","15.94"
"06037535604, CA","06037535604","=""06037535604""","12.55"
"06037201200, CA","06037201200","=""06037201200""","8.19"
"06037219010, CA","06037219010","=""06037219010""","7.73"
"06037208302, CA","06037208302","=""06037208302""","15.77"
"06037227020, CA","06037227020","=""06037227020""","13.90"
"06037201503, CA","06037201503","=""06037201503""","19.90"
"06037297120, CA","06037297120","=""06037297120""","23.51"
"06037265201, CA","06037265201","=""06037265201""","3.60"
"06037601303, CA","06037601303","=""06037601303""","4.00"
"06037480304, CA","06037480304","=""06037480304""","7.02"
"06037127604, CA","06037127604","=""06037127604""","14.96"
"06037531502, CA","06037531502","=""06037531502""","18.22"
"06037267502, CA","06037267502","=""06037267502""","3.51"
"06037433306, CA","06037433306","=""06037433306""","7.81"
"06037127603, CA","06037127603","=""06037127603""","8.43"
"06037531603, CA","06037531603","=""06037531603""","17.71"
"06037237710, CA","06037237710","=""06037237710""","11.89"
"06037533805, CA","06037533805","=""06037533805""","14.72"
"06037575801, CA","06037575801","=""06037575801""","15.37"
"06037119310, CA","06037119310","=""06037119310""","8.91"
"06037218600, CA","06037218600","=""06037218600""","9.56"
"06037207301, CA","06037207301","=""06037207301""","3.71"
"06037267300, CA","06037267300","=""06037267300""","4.60"
"06037267402, CA","06037267402","=""06037267402""","2.55"
"06037433307, CA","06037433307","=""06037433307""","12.73"
"06037183520, CA","06037183520","=""06037183520""","9.85"
"06037226420, CA","06037226420","=""06037226420""","15.73"
"06037232800, CA","06037232800","=""06037232800""","23.22"
"06037191302, CA","06037191302","=""06037191302""","10.32"
"06037553503, CA","06037553503","=""06037553503""","16.64"
"06037535803, CA","06037535803","=""06037535803""","11.24"
"06037533501, CA","06037533501","=""06037533501""","11.76"
"06037185310, CA","06037185310","=""06037185310""","9.58"
"06037239601, CA","06037239601","=""06037239601""","20.76"
"06037264301, CA","06037264301","=""06037264301""","4.51"
"06037575101, CA","06037575101","=""06037575101""","19.82"
"06037207502, CA","06037207502","=""06037207502""","7.65"
"06037574700, CA","06037574700","=""06037574700""","N/A"
