"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037543905, CA","06037543905","=""06037543905""","10.75"
"06037920028, CA","06037920028","=""06037920028""","0.00"
"06037901008, CA","06037901008","=""06037901008""","1.54"
"06037109100, CA","06037109100","=""06037109100""","5.57"
"06037901011, CA","06037901011","=""06037901011""","4.63"
"06037900609, CA","06037900609","=""06037900609""","2.60"
"06037901010, CA","06037901010","=""06037901010""","1.87"
"06037901009, CA","06037901009","=""06037901009""","7.26"
"06037910601, CA","06037910601","=""06037910601""","11.06"
"06037980007, CA","06037980007","=""06037980007""","N/A"
"06037900803, CA","06037900803","=""06037900803""","0.78"
"06037104204, CA","06037104204","=""06037104204""","8.25"
"06037900805, CA","06037900805","=""06037900805""","2.94"
"06037401902, CA","06037401902","=""06037401902""","5.57"
"06037910603, CA","06037910603","=""06037910603""","7.86"
"06037703100, CA","06037703100","=""06037703100""","2.82"
"06037550500, CA","06037550500","=""06037550500""","5.73"
"06037211000, CA","06037211000","=""06037211000""","0.77"
"06037101122, CA","06037101122","=""06037101122""","0.00"
"06037543501, CA","06037543501","=""06037543501""","8.97"
"06037901003, CA","06037901003","=""06037901003""","N/A"
"06037920030, CA","06037920030","=""06037920030""","1.36"
"06037900703, CA","06037900703","=""06037900703""","4.23"
"06037400800, CA","06037400800","=""06037400800""","0.36"
"06037111206, CA","06037111206","=""06037111206""","0.00"
"06037503703, CA","06037503703","=""06037503703""","11.44"
"06037106604, CA","06037106604","=""06037106604""","7.80"
"06037460502, CA","06037460502","=""06037460502""","0.00"
"06037577200, CA","06037577200","=""06037577200""","1.95"
"06037574500, CA","06037574500","=""06037574500""","0.71"
"06037262303, CA","06037262303","=""06037262303""","0.74"
"06037143800, CA","06037143800","=""06037143800""","0.00"
"06037543604, CA","06037543604","=""06037543604""","6.35"
"06037571200, CA","06037571200","=""06037571200""","3.37"
"06037910404, CA","06037910404","=""06037910404""","8.65"
"06037194200, CA","06037194200","=""06037194200""","0.00"
"06037603702, CA","06037603702","=""06037603702""","5.63"
"06037401601, CA","06037401601","=""06037401601""","3.96"
"06037541001, CA","06037541001","=""06037541001""","2.74"
"06037702300, CA","06037702300","=""06037702300""","1.60"
"06037134905, CA","06037134905","=""06037134905""","0.29"
"06037199300, CA","06037199300","=""06037199300""","10.72"
"06037101300, CA","06037101300","=""06037101300""","0.62"
"06037275602, CA","06037275602","=""06037275602""","0.60"
"06037108103, CA","06037108103","=""06037108103""","2.66"
"06037462500, CA","06037462500","=""06037462500""","1.50"
"06037137104, CA","06037137104","=""06037137104""","3.75"
"06037620400, CA","06037620400","=""06037620400""","2.11"
"06037620501, CA","06037620501","=""06037620501""","2.35"
"06037226002, CA","06037226002","=""06037226002""","15.52"
"06037194101, CA","06037194101","=""06037194101""","1.29"
"06037106645, CA","06037106645","=""06037106645""","0.00"
"06037463102, CA","06037463102","=""06037463102""","11.13"
"06037106010, CA","06037106010","=""06037106010""","1.88"
"06037143902, CA","06037143902","=""06037143902""","1.62"
"06037620305, CA","06037620305","=""06037620305""","4.61"
"06037701100, CA","06037701100","=""06037701100""","31.25"
"06037297601, CA","06037297601","=""06037297601""","4.86"
"06037550300, CA","06037550300","=""06037550300""","1.91"
"06037137501, CA","06037137501","=""06037137501""","1.66"
"06037103400, CA","06037103400","=""06037103400""","3.13"
"06037540902, CA","06037540902","=""06037540902""","8.41"
"06037910716, CA","06037910716","=""06037910716""","4.09"
"06037920035, CA","06037920035","=""06037920035""","4.37"
"06037482002, CA","06037482002","=""06037482002""","6.36"
