"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037543400, CA","06037543400","=""06037543400""","10.27"
"06037137402, CA","06037137402","=""06037137402""","6.80"
"06037543202, CA","06037543202","=""06037543202""","12.84"
"06037576001, CA","06037576001","=""06037576001""","6.45"
"06037536102, CA","06037536102","=""06037536102""","6.56"
"06037262302, CA","06037262302","=""06037262302""","5.28"
"06037407002, CA","06037407002","=""06037407002""","6.02"
"06037577300, CA","06037577300","=""06037577300""","7.20"
"06037297400, CA","06037297400","=""06037297400""","1.73"
"06037431100, CA","06037431100","=""06037431100""","6.50"
"06037401101, CA","06037401101","=""06037401101""","7.46"
"06037403323, CA","06037403323","=""06037403323""","2.45"
"06037430701, CA","06037430701","=""06037430701""","4.50"
"06037920118, CA","06037920118","=""06037920118""","5.71"
"06037920040, CA","06037920040","=""06037920040""","9.91"
"06037910209, CA","06037910209","=""06037910209""","6.05"
"06037670701, CA","06037670701","=""06037670701""","4.33"
"06037577603, CA","06037577603","=""06037577603""","5.75"
"06037670202, CA","06037670202","=""06037670202""","7.54"
"06037980025, CA","06037980025","=""06037980025""","N/A"
"06037430502, CA","06037430502","=""06037430502""","6.84"
"06037482001, CA","06037482001","=""06037482001""","5.05"
"06037920313, CA","06037920313","=""06037920313""","11.76"
"06037573402, CA","06037573402","=""06037573402""","9.72"
"06037403316, CA","06037403316","=""06037403316""","3.35"
"06037550800, CA","06037550800","=""06037550800""","13.87"
"06037543100, CA","06037543100","=""06037543100""","15.01"
"06037139301, CA","06037139301","=""06037139301""","6.97"
"06037670411, CA","06037670411","=""06037670411""","2.34"
"06037463800, CA","06037463800","=""06037463800""","3.25"
"06037920114, CA","06037920114","=""06037920114""","7.62"
"06037408212, CA","06037408212","=""06037408212""","10.01"
"06037482600, CA","06037482600","=""06037482600""","9.24"
"06037262706, CA","06037262706","=""06037262706""","5.18"
"06037406702, CA","06037406702","=""06037406702""","3.83"
"06037311600, CA","06037311600","=""06037311600""","3.08"
"06037108201, CA","06037108201","=""06037108201""","2.87"
"06037920334, CA","06037920334","=""06037920334""","6.18"
"06037432500, CA","06037432500","=""06037432500""","7.83"
"06037920108, CA","06037920108","=""06037920108""","4.80"
"06037401312, CA","06037401312","=""06037401312""","6.76"
"06037532200, CA","06037532200","=""06037532200""","11.69"
"06037602900, CA","06037602900","=""06037602900""","14.82"
"06037571800, CA","06037571800","=""06037571800""","1.20"
"06037543905, CA","06037543905","=""06037543905""","13.17"
"06037920028, CA","06037920028","=""06037920028""","5.68"
"06037901008, CA","06037901008","=""06037901008""","5.40"
"06037109100, CA","06037109100","=""06037109100""","5.44"
"06037901011, CA","06037901011","=""06037901011""","9.00"
"06037900609, CA","06037900609","=""06037900609""","19.60"
"06037901010, CA","06037901010","=""06037901010""","9.87"
"06037901009, CA","06037901009","=""06037901009""","9.57"
"06037910601, CA","06037910601","=""06037910601""","3.84"
"06037980007, CA","06037980007","=""06037980007""","N/A"
"06037900803, CA","06037900803","=""06037900803""","8.24"
"06037104204, CA","06037104204","=""06037104204""","10.60"
"06037900805, CA","06037900805","=""06037900805""","12.71"
"06037401902, CA","06037401902","=""06037401902""","6.32"
"06037910603, CA","06037910603","=""06037910603""","14.19"
"06037703100, CA","06037703100","=""06037703100""","6.11"
"06037550500, CA","06037550500","=""06037550500""","8.47"
"06037211000, CA","06037211000","=""06037211000""","6.93"
"06037101122, CA","06037101122","=""06037101122""","8.61"
"06037543501, CA","06037543501","=""06037543501""","13.90"
"06037901003, CA","06037901003","=""06037901003""","N/A"
"06037920030, CA","06037920030","=""06037920030""","4.56"
"06037900703, CA","06037900703","=""06037900703""","7.26"
"06037400800, CA","06037400800","=""06037400800""","3.48"
"06037111206, CA","06037111206","=""06037111206""","2.26"
"06037503703, CA","06037503703","=""06037503703""","9.42"
"06037106604, CA","06037106604","=""06037106604""","9.43"
"06037460502, CA","06037460502","=""06037460502""","2.77"
"06037577200, CA","06037577200","=""06037577200""","3.91"
"06037574500, CA","06037574500","=""06037574500""","1.32"
"06037262303, CA","06037262303","=""06037262303""","3.87"
"06037143800, CA","06037143800","=""06037143800""","2.46"
"06037543604, CA","06037543604","=""06037543604""","5.77"
"06037571200, CA","06037571200","=""06037571200""","5.76"
"06037910404, CA","06037910404","=""06037910404""","16.65"
"06037194200, CA","06037194200","=""06037194200""","5.13"
"06037603702, CA","06037603702","=""06037603702""","5.17"
"06037401601, CA","06037401601","=""06037401601""","8.86"
"06037541001, CA","06037541001","=""06037541001""","6.58"
"06037702300, CA","06037702300","=""06037702300""","6.03"
"06037134905, CA","06037134905","=""06037134905""","5.18"
"06037199300, CA","06037199300","=""06037199300""","4.33"
"06037101300, CA","06037101300","=""06037101300""","4.84"
"06037275602, CA","06037275602","=""06037275602""","3.90"
"06037108103, CA","06037108103","=""06037108103""","5.02"
"06037462500, CA","06037462500","=""06037462500""","5.36"
"06037137104, CA","06037137104","=""06037137104""","9.19"
"06037620400, CA","06037620400","=""06037620400""","2.35"
"06037620501, CA","06037620501","=""06037620501""","2.40"
"06037226002, CA","06037226002","=""06037226002""","11.28"
"06037194101, CA","06037194101","=""06037194101""","2.88"
"06037106645, CA","06037106645","=""06037106645""","6.96"
"06037463102, CA","06037463102","=""06037463102""","4.42"
"06037106010, CA","06037106010","=""06037106010""","2.19"
"06037143902, CA","06037143902","=""06037143902""","0.69"
"06037620305, CA","06037620305","=""06037620305""","5.72"
"06037701100, CA","06037701100","=""06037701100""","56.25"
"06037297601, CA","06037297601","=""06037297601""","5.52"
"06037550300, CA","06037550300","=""06037550300""","11.72"
"06037137501, CA","06037137501","=""06037137501""","4.55"
"06037103400, CA","06037103400","=""06037103400""","4.84"
"06037540902, CA","06037540902","=""06037540902""","12.44"
"06037910716, CA","06037910716","=""06037910716""","2.37"
"06037920035, CA","06037920035","=""06037920035""","6.54"
"06037482002, CA","06037482002","=""06037482002""","5.48"
"06037139600, CA","06037139600","=""06037139600""","8.49"
"06037408626, CA","06037408626","=""06037408626""","4.59"
"06037602700, CA","06037602700","=""06037602700""","3.37"
"06037574300, CA","06037574300","=""06037574300""","4.00"
"06037262704, CA","06037262704","=""06037262704""","6.65"
"06037620800, CA","06037620800","=""06037620800""","2.36"
"06037194300, CA","06037194300","=""06037194300""","3.86"
"06037461200, CA","06037461200","=""06037461200""","6.19"
"06037113401, CA","06037113401","=""06037113401""","4.67"
"06037460900, CA","06037460900","=""06037460900""","10.89"
"06037408628, CA","06037408628","=""06037408628""","3.70"
"06037137302, CA","06037137302","=""06037137302""","8.86"
"06037139402, CA","06037139402","=""06037139402""","4.69"
"06037600702, CA","06037600702","=""06037600702""","9.20"
"06037551000, CA","06037551000","=""06037551000""","8.39"
"06037920328, CA","06037920328","=""06037920328""","3.71"
"06037403000, CA","06037403000","=""06037403000""","12.99"
"06037403200, CA","06037403200","=""06037403200""","N/A"
"06037650200, CA","06037650200","=""06037650200""","2.90"
"06037291300, CA","06037291300","=""06037291300""","8.94"
"06037570800, CA","06037570800","=""06037570800""","6.49"
"06037403404, CA","06037403404","=""06037403404""","6.02"
"06037651302, CA","06037651302","=""06037651302""","3.63"
"06037137401, CA","06037137401","=""06037137401""","2.98"
"06037462900, CA","06037462900","=""06037462900""","6.24"
"06037297300, CA","06037297300","=""06037297300""","3.89"
"06037265100, CA","06037265100","=""06037265100""","10.60"
"06037480600, CA","06037480600","=""06037480600""","8.80"
"06037311700, CA","06037311700","=""06037311700""","4.08"
"06037554511, CA","06037554511","=""06037554511""","8.65"
"06037134422, CA","06037134422","=""06037134422""","6.48"
