"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037543202, CA","06037543202","=""06037543202""","18.19"
"06037576001, CA","06037576001","=""06037576001""","4.63"
"06037536102, CA","06037536102","=""06037536102""","17.66"
"06037262302, CA","06037262302","=""06037262302""","7.54"
"06037407002, CA","06037407002","=""06037407002""","17.67"
"06037577300, CA","06037577300","=""06037577300""","3.00"
"06037297400, CA","06037297400","=""06037297400""","13.88"
"06037431100, CA","06037431100","=""06037431100""","16.14"
"06037401101, CA","06037401101","=""06037401101""","16.42"
"06037403323, CA","06037403323","=""06037403323""","2.84"
"06037430701, CA","06037430701","=""06037430701""","5.75"
"06037920118, CA","06037920118","=""06037920118""","1.22"
"06037920040, CA","06037920040","=""06037920040""","2.26"
"06037910209, CA","06037910209","=""06037910209""","5.90"
"06037670701, CA","06037670701","=""06037670701""","7.65"
"06037577603, CA","06037577603","=""06037577603""","2.40"
"06037670202, CA","06037670202","=""06037670202""","5.06"
"06037980025, CA","06037980025","=""06037980025""","N/A"
"06037430502, CA","06037430502","=""06037430502""","10.54"
"06037482001, CA","06037482001","=""06037482001""","22.64"
"06037920313, CA","06037920313","=""06037920313""","8.43"
"06037573402, CA","06037573402","=""06037573402""","11.51"
"06037403316, CA","06037403316","=""06037403316""","10.65"
"06037550800, CA","06037550800","=""06037550800""","6.45"
"06037543100, CA","06037543100","=""06037543100""","18.87"
"06037139301, CA","06037139301","=""06037139301""","1.77"
"06037670411, CA","06037670411","=""06037670411""","4.81"
"06037463800, CA","06037463800","=""06037463800""","3.63"
"06037920114, CA","06037920114","=""06037920114""","0.75"
"06037408212, CA","06037408212","=""06037408212""","6.10"
"06037482600, CA","06037482600","=""06037482600""","10.35"
"06037262706, CA","06037262706","=""06037262706""","0.00"
"06037406702, CA","06037406702","=""06037406702""","6.14"
"06037311600, CA","06037311600","=""06037311600""","7.90"
"06037108201, CA","06037108201","=""06037108201""","1.95"
"06037920334, CA","06037920334","=""06037920334""","8.06"
"06037432500, CA","06037432500","=""06037432500""","18.85"
"06037920108, CA","06037920108","=""06037920108""","0.51"
"06037401312, CA","06037401312","=""06037401312""","25.14"
"06037532200, CA","06037532200","=""06037532200""","14.77"
"06037602900, CA","06037602900","=""06037602900""","25.38"
"06037571800, CA","06037571800","=""06037571800""","3.16"
"06037543905, CA","06037543905","=""06037543905""","12.22"
"06037920028, CA","06037920028","=""06037920028""","2.84"
"06037901008, CA","06037901008","=""06037901008""","12.00"
"06037109100, CA","06037109100","=""06037109100""","15.28"
"06037901011, CA","06037901011","=""06037901011""","13.08"
"06037900609, CA","06037900609","=""06037900609""","25.61"
"06037901010, CA","06037901010","=""06037901010""","14.55"
"06037901009, CA","06037901009","=""06037901009""","12.37"
"06037910601, CA","06037910601","=""06037910601""","12.15"
"06037980007, CA","06037980007","=""06037980007""","N/A"
"06037900803, CA","06037900803","=""06037900803""","16.14"
"06037104204, CA","06037104204","=""06037104204""","14.14"
"06037900805, CA","06037900805","=""06037900805""","11.06"
"06037401902, CA","06037401902","=""06037401902""","8.03"
"06037910603, CA","06037910603","=""06037910603""","9.30"
"06037703100, CA","06037703100","=""06037703100""","9.77"
"06037550500, CA","06037550500","=""06037550500""","5.48"
"06037211000, CA","06037211000","=""06037211000""","1.69"
"06037101122, CA","06037101122","=""06037101122""","9.68"
"06037543501, CA","06037543501","=""06037543501""","12.92"
"06037901003, CA","06037901003","=""06037901003""","N/A"
"06037920030, CA","06037920030","=""06037920030""","4.08"
"06037900703, CA","06037900703","=""06037900703""","18.57"
"06037400800, CA","06037400800","=""06037400800""","8.66"
"06037111206, CA","06037111206","=""06037111206""","5.39"
"06037503703, CA","06037503703","=""06037503703""","12.29"
"06037106604, CA","06037106604","=""06037106604""","16.18"
"06037460502, CA","06037460502","=""06037460502""","1.27"
"06037577200, CA","06037577200","=""06037577200""","7.02"
"06037574500, CA","06037574500","=""06037574500""","8.47"
"06037262303, CA","06037262303","=""06037262303""","2.30"
"06037143800, CA","06037143800","=""06037143800""","0.63"
"06037543604, CA","06037543604","=""06037543604""","12.04"
"06037571200, CA","06037571200","=""06037571200""","8.97"
"06037910404, CA","06037910404","=""06037910404""","8.74"
"06037194200, CA","06037194200","=""06037194200""","1.16"
"06037603702, CA","06037603702","=""06037603702""","11.19"
"06037401601, CA","06037401601","=""06037401601""","9.03"
"06037541001, CA","06037541001","=""06037541001""","17.81"
"06037702300, CA","06037702300","=""06037702300""","6.67"
"06037134905, CA","06037134905","=""06037134905""","2.22"
"06037199300, CA","06037199300","=""06037199300""","9.66"
"06037101300, CA","06037101300","=""06037101300""","11.14"
"06037275602, CA","06037275602","=""06037275602""","1.43"
"06037108103, CA","06037108103","=""06037108103""","1.97"
"06037462500, CA","06037462500","=""06037462500""","13.24"
"06037137104, CA","06037137104","=""06037137104""","0.89"
"06037620400, CA","06037620400","=""06037620400""","3.04"
"06037620501, CA","06037620501","=""06037620501""","9.02"
"06037226002, CA","06037226002","=""06037226002""","25.27"
"06037194101, CA","06037194101","=""06037194101""","3.49"
"06037106645, CA","06037106645","=""06037106645""","1.85"
"06037463102, CA","06037463102","=""06037463102""","13.16"
"06037106010, CA","06037106010","=""06037106010""","5.42"
"06037143902, CA","06037143902","=""06037143902""","2.08"
"06037620305, CA","06037620305","=""06037620305""","3.74"
"06037701100, CA","06037701100","=""06037701100""","0.00"
"06037297601, CA","06037297601","=""06037297601""","12.12"
"06037550300, CA","06037550300","=""06037550300""","11.97"
"06037137501, CA","06037137501","=""06037137501""","3.11"
"06037103400, CA","06037103400","=""06037103400""","9.39"
"06037540902, CA","06037540902","=""06037540902""","23.20"
"06037910716, CA","06037910716","=""06037910716""","11.87"
"06037920035, CA","06037920035","=""06037920035""","7.90"
"06037482002, CA","06037482002","=""06037482002""","9.64"
"06037139600, CA","06037139600","=""06037139600""","11.08"
"06037408626, CA","06037408626","=""06037408626""","9.04"
"06037602700, CA","06037602700","=""06037602700""","5.02"
"06037574300, CA","06037574300","=""06037574300""","1.38"
"06037262704, CA","06037262704","=""06037262704""","5.59"
"06037620800, CA","06037620800","=""06037620800""","4.97"
"06037194300, CA","06037194300","=""06037194300""","1.93"
"06037461200, CA","06037461200","=""06037461200""","5.05"
"06037113401, CA","06037113401","=""06037113401""","9.94"
"06037460900, CA","06037460900","=""06037460900""","9.54"
"06037408628, CA","06037408628","=""06037408628""","10.61"
"06037137302, CA","06037137302","=""06037137302""","4.18"
"06037139402, CA","06037139402","=""06037139402""","4.28"
"06037600702, CA","06037600702","=""06037600702""","9.63"
"06037551000, CA","06037551000","=""06037551000""","7.01"
"06037920328, CA","06037920328","=""06037920328""","3.23"
"06037403000, CA","06037403000","=""06037403000""","11.74"
"06037403200, CA","06037403200","=""06037403200""","N/A"
"06037650200, CA","06037650200","=""06037650200""","6.44"
"06037291300, CA","06037291300","=""06037291300""","14.72"
"06037570800, CA","06037570800","=""06037570800""","4.81"
"06037403404, CA","06037403404","=""06037403404""","4.45"
"06037651302, CA","06037651302","=""06037651302""","4.81"
"06037137401, CA","06037137401","=""06037137401""","5.02"
"06037462900, CA","06037462900","=""06037462900""","5.07"
"06037297300, CA","06037297300","=""06037297300""","4.40"
"06037265100, CA","06037265100","=""06037265100""","17.64"
"06037480600, CA","06037480600","=""06037480600""","9.14"
"06037311700, CA","06037311700","=""06037311700""","7.02"
"06037554511, CA","06037554511","=""06037554511""","0.76"
"06037134422, CA","06037134422","=""06037134422""","6.04"
"06037401201, CA","06037401201","=""06037401201""","11.12"
"06037276000, CA","06037276000","=""06037276000""","8.85"
"06037980001, CA","06037980001","=""06037980001""","N/A"
"06037701304, CA","06037701304","=""06037701304""","4.81"
"06037800325, CA","06037800325","=""06037800325""","4.78"
"06037403322, CA","06037403322","=""06037403322""","8.19"
"06037402102, CA","06037402102","=""06037402102""","8.96"
"06037277000, CA","06037277000","=""06037277000""","10.84"
"06037403401, CA","06037403401","=""06037403401""","2.71"
"06037530005, CA","06037530005","=""06037530005""","16.10"
"06037402600, CA","06037402600","=""06037402600""","15.16"
"06037269000, CA","06037269000","=""06037269000""","4.93"
"06037430803, CA","06037430803","=""06037430803""","4.56"
"06037920109, CA","06037920109","=""06037920109""","3.94"
"06037185100, CA","06037185100","=""06037185100""","9.31"
"06037113301, CA","06037113301","=""06037113301""","8.08"
"06037301601, CA","06037301601","=""06037301601""","33.67"
"06037113101, CA","06037113101","=""06037113101""","3.60"
"06037544001, CA","06037544001","=""06037544001""","7.78"
"06037920029, CA","06037920029","=""06037920029""","5.61"
"06037109601, CA","06037109601","=""06037109601""","9.13"
"06037651304, CA","06037651304","=""06037651304""","3.70"
"06037403319, CA","06037403319","=""06037403319""","5.58"
"06037500403, CA","06037500403","=""06037500403""","9.00"
"06037432000, CA","06037432000","=""06037432000""","15.59"
"06037276601, CA","06037276601","=""06037276601""","4.06"
"06037701902, CA","06037701902","=""06037701902""","14.31"
"06037550700, CA","06037550700","=""06037550700""","13.02"
"06037551800, CA","06037551800","=""06037551800""","3.58"
"06037106520, CA","06037106520","=""06037106520""","16.68"
"06037274202, CA","06037274202","=""06037274202""","7.09"
"06037920329, CA","06037920329","=""06037920329""","4.66"
"06037461700, CA","06037461700","=""06037461700""","3.03"
"06037113421, CA","06037113421","=""06037113421""","8.74"
"06037300600, CA","06037300600","=""06037300600""","9.22"
"06037269300, CA","06037269300","=""06037269300""","2.28"
"06037536200, CA","06037536200","=""06037536200""","6.38"
"06037187102, CA","06037187102","=""06037187102""","16.82"
"06037131600, CA","06037131600","=""06037131600""","9.03"
"06037481500, CA","06037481500","=""06037481500""","11.76"
"06037108102, CA","06037108102","=""06037108102""","3.04"
"06037127400, CA","06037127400","=""06037127400""","12.23"
"06037502801, CA","06037502801","=""06037502801""","3.78"
"06037543801, CA","06037543801","=""06037543801""","14.41"
"06037576700, CA","06037576700","=""06037576700""","7.39"
"06037554522, CA","06037554522","=""06037554522""","7.09"
"06037310900, CA","06037310900","=""06037310900""","11.65"
"06037480702, CA","06037480702","=""06037480702""","4.61"
"06037920016, CA","06037920016","=""06037920016""","1.88"
"06037670413, CA","06037670413","=""06037670413""","5.73"
"06037702600, CA","06037702600","=""06037702600""","9.33"
"06037403703, CA","06037403703","=""06037403703""","13.19"
"06037621204, CA","06037621204","=""06037621204""","7.16"
"06037430002, CA","06037430002","=""06037430002""","13.66"
"06037310800, CA","06037310800","=""06037310800""","16.08"
"06037571400, CA","06037571400","=""06037571400""","5.70"
"06037134421, CA","06037134421","=""06037134421""","2.09"
"06037408625, CA","06037408625","=""06037408625""","5.66"
"06037188100, CA","06037188100","=""06037188100""","6.86"
"06037541200, CA","06037541200","=""06037541200""","18.02"
"06037900701, CA","06037900701","=""06037900701""","26.36"
"06037405600, CA","06037405600","=""06037405600""","17.40"
"06037480500, CA","06037480500","=""06037480500""","2.90"
"06037403902, CA","06037403902","=""06037403902""","4.89"
"06037602200, CA","06037602200","=""06037602200""","9.74"
"06037703200, CA","06037703200","=""06037703200""","10.11"
"06037408722, CA","06037408722","=""06037408722""","1.45"
"06037106406, CA","06037106406","=""06037106406""","9.70"
