"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037481712, CA","06037481712","=""06037481712""","20.74"
"06037530203, CA","06037530203","=""06037530203""","28.63"
"06037570603, CA","06037570603","=""06037570603""","20.34"
"06037433902, CA","06037433902","=""06037433902""","23.33"
"06037265420, CA","06037265420","=""06037265420""","1.33"
"06037553400, CA","06037553400","=""06037553400""","17.91"
"06037189800, CA","06037189800","=""06037189800""","2.32"
"06037232700, CA","06037232700","=""06037232700""","19.85"
"06037551401, CA","06037551401","=""06037551401""","8.78"
"06037482503, CA","06037482503","=""06037482503""","9.42"
"06037191902, CA","06037191902","=""06037191902""","1.77"
"06037219020, CA","06037219020","=""06037219020""","14.50"
"06037301801, CA","06037301801","=""06037301801""","14.31"
"06037131702, CA","06037131702","=""06037131702""","5.97"
"06037122120, CA","06037122120","=""06037122120""","13.54"
"06037433901, CA","06037433901","=""06037433901""","35.79"
"06037405203, CA","06037405203","=""06037405203""","11.95"
"06037602104, CA","06037602104","=""06037602104""","11.56"
"06037224600, CA","06037224600","=""06037224600""","20.51"
"06037240020, CA","06037240020","=""06037240020""","23.15"
"06037482702, CA","06037482702","=""06037482702""","9.85"
"06037243000, CA","06037243000","=""06037243000""","16.37"
"06037141304, CA","06037141304","=""06037141304""","6.84"
"06037541801, CA","06037541801","=""06037541801""","10.74"
"06037554302, CA","06037554302","=""06037554302""","18.64"
"06037104203, CA","06037104203","=""06037104203""","14.97"
"06037127104, CA","06037127104","=""06037127104""","8.63"
"06037122410, CA","06037122410","=""06037122410""","29.29"
"06037191710, CA","06037191710","=""06037191710""","17.93"
"06037291110, CA","06037291110","=""06037291110""","28.51"
"06037294301, CA","06037294301","=""06037294301""","12.50"
"06037552601, CA","06037552601","=""06037552601""","16.98"
"06037183221, CA","06037183221","=""06037183221""","9.23"
"06037271702, CA","06037271702","=""06037271702""","3.65"
"06037531902, CA","06037531902","=""06037531902""","19.72"
"06037433403, CA","06037433403","=""06037433403""","33.50"
"06037115403, CA","06037115403","=""06037115403""","10.69"
"06037132501, CA","06037132501","=""06037132501""","11.15"
"06037241002, CA","06037241002","=""06037241002""","31.18"
"06037552002, CA","06037552002","=""06037552002""","9.69"
"06037218900, CA","06037218900","=""06037218900""","16.07"
"06037141201, CA","06037141201","=""06037141201""","4.38"
"06037101220, CA","06037101220","=""06037101220""","20.71"
"06037302301, CA","06037302301","=""06037302301""","14.75"
"06037197700, CA","06037197700","=""06037197700""","11.45"
"06037141202, CA","06037141202","=""06037141202""","5.15"
"06037462302, CA","06037462302","=""06037462302""","9.57"
"06037555212, CA","06037555212","=""06037555212""","20.68"
"06037104403, CA","06037104403","=""06037104403""","22.26"
"06037533602, CA","06037533602","=""06037533602""","21.27"
"06037700200, CA","06037700200","=""06037700200""","4.65"
"06037531101, CA","06037531101","=""06037531101""","20.63"
"06037291120, CA","06037291120","=""06037291120""","26.23"
"06037125402, CA","06037125402","=""06037125402""","6.57"
"06037199400, CA","06037199400","=""06037199400""","15.38"
"06037402304, CA","06037402304","=""06037402304""","27.08"
"06037404902, CA","06037404902","=""06037404902""","10.43"
"06037601900, CA","06037601900","=""06037601900""","19.06"
"06037651221, CA","06037651221","=""06037651221""","10.47"
"06037576200, CA","06037576200","=""06037576200""","12.63"
"06037240401, CA","06037240401","=""06037240401""","17.77"
"06037128302, CA","06037128302","=""06037128302""","21.03"
"06037273700, CA","06037273700","=""06037273700""","5.15"
"06037107010, CA","06037107010","=""06037107010""","11.70"
"06037600602, CA","06037600602","=""06037600602""","25.29"
"06037700802, CA","06037700802","=""06037700802""","7.69"
"06037194500, CA","06037194500","=""06037194500""","4.87"
"06037127806, CA","06037127806","=""06037127806""","9.18"
"06037603006, CA","06037603006","=""06037603006""","19.88"
"06037104401, CA","06037104401","=""06037104401""","25.45"
"06037192410, CA","06037192410","=""06037192410""","5.88"
"06037573902, CA","06037573902","=""06037573902""","6.07"
"06037434004, CA","06037434004","=""06037434004""","17.25"
"06037128601, CA","06037128601","=""06037128601""","11.98"
"06037600911, CA","06037600911","=""06037600911""","8.10"
"06037554203, CA","06037554203","=""06037554203""","17.76"
"06037408630, CA","06037408630","=""06037408630""","7.30"
"06037183104, CA","06037183104","=""06037183104""","16.82"
"06037216100, CA","06037216100","=""06037216100""","6.76"
"06037700101, CA","06037700101","=""06037700101""","18.11"
"06037240600, CA","06037240600","=""06037240600""","18.39"
"06037570702, CA","06037570702","=""06037570702""","5.32"
"06037404504, CA","06037404504","=""06037404504""","24.54"
"06037218220, CA","06037218220","=""06037218220""","16.15"
"06037534501, CA","06037534501","=""06037534501""","17.11"
"06037554301, CA","06037554301","=""06037554301""","16.37"
"06037531702, CA","06037531702","=""06037531702""","29.89"
"06037530204, CA","06037530204","=""06037530204""","14.06"
"06037301502, CA","06037301502","=""06037301502""","18.79"
"06037123902, CA","06037123902","=""06037123902""","6.80"
"06037603801, CA","06037603801","=""06037603801""","7.33"
"06037530602, CA","06037530602","=""06037530602""","13.80"
"06037131701, CA","06037131701","=""06037131701""","8.53"
"06037463300, CA","06037463300","=""06037463300""","14.04"
"06037241120, CA","06037241120","=""06037241120""","30.10"
"06037294421, CA","06037294421","=""06037294421""","22.51"
"06037701602, CA","06037701602","=""06037701602""","2.72"
"06037530006, CA","06037530006","=""06037530006""","14.42"
"06037221220, CA","06037221220","=""06037221220""","25.10"
"06037433102, CA","06037433102","=""06037433102""","7.66"
"06037404503, CA","06037404503","=""06037404503""","13.22"
"06037183103, CA","06037183103","=""06037183103""","10.38"
"06037203100, CA","06037203100","=""06037203100""","31.15"
"06037532603, CA","06037532603","=""06037532603""","20.55"
"06037231300, CA","06037231300","=""06037231300""","13.36"
"06037554204, CA","06037554204","=""06037554204""","19.63"
"06037218400, CA","06037218400","=""06037218400""","16.01"
"06037604001, CA","06037604001","=""06037604001""","7.18"
"06037701701, CA","06037701701","=""06037701701""","8.50"
"06037481603, CA","06037481603","=""06037481603""","6.33"
"06037127220, CA","06037127220","=""06037127220""","14.71"
"06037222002, CA","06037222002","=""06037222002""","16.65"
"06037271901, CA","06037271901","=""06037271901""","2.84"
"06037197300, CA","06037197300","=""06037197300""","8.96"
"06037101210, CA","06037101210","=""06037101210""","23.42"
"06037234800, CA","06037234800","=""06037234800""","15.00"
"06037601202, CA","06037601202","=""06037601202""","5.52"
"06037127910, CA","06037127910","=""06037127910""","9.68"
"06037222500, CA","06037222500","=""06037222500""","12.86"
"06037211701, CA","06037211701","=""06037211701""","8.20"
"06037199800, CA","06037199800","=""06037199800""","15.99"
"06037222600, CA","06037222600","=""06037222600""","19.71"
"06037219300, CA","06037219300","=""06037219300""","27.03"
"06037235201, CA","06037235201","=""06037235201""","31.26"
"06037124102, CA","06037124102","=""06037124102""","15.71"
"06037128101, CA","06037128101","=""06037128101""","12.59"
"06037127920, CA","06037127920","=""06037127920""","5.43"
"06037128102, CA","06037128102","=""06037128102""","13.20"
"06037127605, CA","06037127605","=""06037127605""","8.46"
"06037134104, CA","06037134104","=""06037134104""","6.25"
"06037600501, CA","06037600501","=""06037600501""","11.25"
"06037603703, CA","06037603703","=""06037603703""","3.47"
"06037191000, CA","06037191000","=""06037191000""","4.90"
"06037603005, CA","06037603005","=""06037603005""","13.41"
"06037604002, CA","06037604002","=""06037604002""","10.06"
"06037482202, CA","06037482202","=""06037482202""","11.24"
"06037404202, CA","06037404202","=""06037404202""","7.11"
"06037543601, CA","06037543601","=""06037543601""","10.66"
"06037135113, CA","06037135113","=""06037135113""","5.12"
"06037602508, CA","06037602508","=""06037602508""","16.41"
"06037600601, CA","06037600601","=""06037600601""","13.80"
"06037573202, CA","06037573202","=""06037573202""","15.50"
"06037242000, CA","06037242000","=""06037242000""","23.74"
"06037575300, CA","06037575300","=""06037575300""","40.05"
"06037602404, CA","06037602404","=""06037602404""","12.98"
"06037204300, CA","06037204300","=""06037204300""","25.81"
"06037190700, CA","06037190700","=""06037190700""","12.49"
"06037127803, CA","06037127803","=""06037127803""","17.43"
"06037603704, CA","06037603704","=""06037603704""","17.33"
"06037502003, CA","06037502003","=""06037502003""","19.08"
"06037191500, CA","06037191500","=""06037191500""","16.10"
"06037620521, CA","06037620521","=""06037620521""","3.68"
"06037273200, CA","06037273200","=""06037273200""","5.74"
"06037577400, CA","06037577400","=""06037577400""","6.79"
"06037197500, CA","06037197500","=""06037197500""","10.85"
"06037482502, CA","06037482502","=""06037482502""","10.89"
"06037294900, CA","06037294900","=""06037294900""","18.33"
"06037127804, CA","06037127804","=""06037127804""","10.51"
"06037601100, CA","06037601100","=""06037601100""","21.67"
"06037277400, CA","06037277400","=""06037277400""","26.69"
"06037240800, CA","06037240800","=""06037240800""","36.40"
"06037531701, CA","06037531701","=""06037531701""","21.22"
"06037602105, CA","06037602105","=""06037602105""","16.11"
"06037553504, CA","06037553504","=""06037553504""","15.93"
"06037462301, CA","06037462301","=""06037462301""","17.86"
"06037123303, CA","06037123303","=""06037123303""","17.40"
"06037224700, CA","06037224700","=""06037224700""","7.80"
"06037302302, CA","06037302302","=""06037302302""","20.44"
"06037125320, CA","06037125320","=""06037125320""","25.79"
"06037543701, CA","06037543701","=""06037543701""","7.88"
"06037601002, CA","06037601002","=""06037601002""","14.26"
"06037402803, CA","06037402803","=""06037402803""","10.21"
"06037242300, CA","06037242300","=""06037242300""","23.43"
"06037603802, CA","06037603802","=""06037603802""","9.79"
"06037237101, CA","06037237101","=""06037237101""","21.64"
"06037232300, CA","06037232300","=""06037232300""","33.16"
"06037274100, CA","06037274100","=""06037274100""","4.56"
"06037132502, CA","06037132502","=""06037132502""","6.89"
"06037189102, CA","06037189102","=""06037189102""","3.62"
"06037293306, CA","06037293306","=""06037293306""","6.80"
"06037481604, CA","06037481604","=""06037481604""","11.28"
"06037602003, CA","06037602003","=""06037602003""","14.15"
"06037265601, CA","06037265601","=""06037265601""","4.88"
"06037134306, CA","06037134306","=""06037134306""","1.66"
"06037542105, CA","06037542105","=""06037542105""","22.47"
"06037231400, CA","06037231400","=""06037231400""","27.28"
"06037482304, CA","06037482304","=""06037482304""","28.34"
"06037134522, CA","06037134522","=""06037134522""","12.51"
"06037275102, CA","06037275102","=""06037275102""","11.82"
"06037531800, CA","06037531800","=""06037531800""","27.62"
"06037297602, CA","06037297602","=""06037297602""","8.88"
"06037701501, CA","06037701501","=""06037701501""","4.91"
"06037404302, CA","06037404302","=""06037404302""","16.26"
"06037127805, CA","06037127805","=""06037127805""","14.52"
"06037206300, CA","06037206300","=""06037206300""","62.52"
"06037197420, CA","06037197420","=""06037197420""","10.62"
"06037481102, CA","06037481102","=""06037481102""","6.98"
"06037601301, CA","06037601301","=""06037601301""","5.05"
"06037570303, CA","06037570303","=""06037570303""","11.78"
"06037296901, CA","06037296901","=""06037296901""","15.29"
"06037104822, CA","06037104822","=""06037104822""","18.72"
"06037542104, CA","06037542104","=""06037542104""","16.01"
"06037701502, CA","06037701502","=""06037701502""","2.31"
"06037534803, CA","06037534803","=""06037534803""","13.08"
"06037239802, CA","06037239802","=""06037239802""","19.24"
"06037700300, CA","06037700300","=""06037700300""","7.46"
"06037407400, CA","06037407400","=""06037407400""","5.90"
"06037701702, CA","06037701702","=""06037701702""","13.11"
"06037243100, CA","06037243100","=""06037243100""","21.05"
"06037123206, CA","06037123206","=""06037123206""","36.52"
"06037702802, CA","06037702802","=""06037702802""","10.15"
"06037204110, CA","06037204110","=""06037204110""","21.97"
"06037272301, CA","06037272301","=""06037272301""","8.12"
"06037195201, CA","06037195201","=""06037195201""","5.29"
"06037301501, CA","06037301501","=""06037301501""","15.16"
"06037553602, CA","06037553602","=""06037553602""","7.78"
"06037190100, CA","06037190100","=""06037190100""","7.61"
"06037240402, CA","06037240402","=""06037240402""","18.22"
"06037218110, CA","06037218110","=""06037218110""","15.90"
"06037573201, CA","06037573201","=""06037573201""","18.21"
"06037700501, CA","06037700501","=""06037700501""","6.42"
"06037540502, CA","06037540502","=""06037540502""","18.43"
"06037104610, CA","06037104610","=""06037104610""","25.32"
"06037214700, CA","06037214700","=""06037214700""","7.84"
"06037189500, CA","06037189500","=""06037189500""","5.40"
"06037432802, CA","06037432802","=""06037432802""","28.01"
"06037501803, CA","06037501803","=""06037501803""","25.44"
"06037602004, CA","06037602004","=""06037602004""","20.34"
"06037185320, CA","06037185320","=""06037185320""","17.08"
"06037535102, CA","06037535102","=""06037535102""","17.35"
"06037194402, CA","06037194402","=""06037194402""","0.64"
"06037123203, CA","06037123203","=""06037123203""","12.27"
"06037572500, CA","06037572500","=""06037572500""","20.78"
"06037273600, CA","06037273600","=""06037273600""","6.11"
"06037104105, CA","06037104105","=""06037104105""","17.13"
"06037240010, CA","06037240010","=""06037240010""","34.55"
"06037311801, CA","06037311801","=""06037311801""","6.13"
"06037134001, CA","06037134001","=""06037134001""","10.08"
"06037600201, CA","06037600201","=""06037600201""","27.00"
"06037530301, CA","06037530301","=""06037530301""","31.77"
"06037602403, CA","06037602403","=""06037602403""","17.65"
"06037601212, CA","06037601212","=""06037601212""","14.02"
"06037229420, CA","06037229420","=""06037229420""","24.33"
"06037542501, CA","06037542501","=""06037542501""","8.23"
"06037534202, CA","06037534202","=""06037534202""","21.97"
"06037574602, CA","06037574602","=""06037574602""","13.27"
"06037214600, CA","06037214600","=""06037214600""","5.69"
"06037195300, CA","06037195300","=""06037195300""","7.96"
"06037430724, CA","06037430724","=""06037430724""","13.25"
"06037204600, CA","06037204600","=""06037204600""","32.12"
"06037227010, CA","06037227010","=""06037227010""","28.90"
"06037206200, CA","06037206200","=""06037206200""","41.46"
"06037601211, CA","06037601211","=""06037601211""","18.00"
"06037214800, CA","06037214800","=""06037214800""","7.31"
"06037271802, CA","06037271802","=""06037271802""","8.88"
"06037265202, CA","06037265202","=""06037265202""","7.31"
"06037241400, CA","06037241400","=""06037241400""","25.47"
"06037191201, CA","06037191201","=""06037191201""","16.21"
"06037134710, CA","06037134710","=""06037134710""","14.59"
"06037302104, CA","06037302104","=""06037302104""","14.51"
"06037433402, CA","06037433402","=""06037433402""","18.46"
"06037297202, CA","06037297202","=""06037297202""","15.23"
"06037530601, CA","06037530601","=""06037530601""","22.56"
"06037273300, CA","06037273300","=""06037273300""","5.56"
"06037270100, CA","06037270100","=""06037270100""","4.76"
"06037408004, CA","06037408004","=""06037408004""","8.34"
"06037462202, CA","06037462202","=""06037462202""","8.44"
"06037550201, CA","06037550201","=""06037550201""","13.13"
"06037127712, CA","06037127712","=""06037127712""","10.38"
"06037534502, CA","06037534502","=""06037534502""","11.03"
"06037542103, CA","06037542103","=""06037542103""","21.13"
"06037570304, CA","06037570304","=""06037570304""","16.96"
"06037570403, CA","06037570403","=""06037570403""","21.00"
"06037231900, CA","06037231900","=""06037231900""","15.70"
"06037134903, CA","06037134903","=""06037134903""","6.40"
"06037120010, CA","06037120010","=""06037120010""","15.80"
"06037123020, CA","06037123020","=""06037123020""","23.71"
"06037211120, CA","06037211120","=""06037211120""","9.58"
"06037530802, CA","06037530802","=""06037530802""","11.93"
"06037293304, CA","06037293304","=""06037293304""","14.25"
"06037554513, CA","06037554513","=""06037554513""","2.07"
"06037265410, CA","06037265410","=""06037265410""","1.31"
"06037575201, CA","06037575201","=""06037575201""","27.27"
"06037143604, CA","06037143604","=""06037143604""","3.98"
"06037117530, CA","06037117530","=""06037117530""","20.07"
"06037128220, CA","06037128220","=""06037128220""","18.44"
"06037219500, CA","06037219500","=""06037219500""","15.79"
"06037572400, CA","06037572400","=""06037572400""","12.07"
"06037296210, CA","06037296210","=""06037296210""","20.16"
"06037531201, CA","06037531201","=""06037531201""","31.92"
"06037120020, CA","06037120020","=""06037120020""","21.06"
"06037203600, CA","06037203600","=""06037203600""","33.00"
"06037104701, CA","06037104701","=""06037104701""","30.02"
"06037120105, CA","06037120105","=""06037120105""","27.76"
"06037302103, CA","06037302103","=""06037302103""","18.84"
"06037128210, CA","06037128210","=""06037128210""","22.96"
"06037183701, CA","06037183701","=""06037183701""","9.34"
"06037534700, CA","06037534700","=""06037534700""","12.60"
"06037532800, CA","06037532800","=""06037532800""","25.99"
"06037542601, CA","06037542601","=""06037542601""","21.71"
"06037218701, CA","06037218701","=""06037218701""","16.61"
"06037301203, CA","06037301203","=""06037301203""","12.79"
"06037185203, CA","06037185203","=""06037185203""","9.40"
"06037217001, CA","06037217001","=""06037217001""","9.64"
"06037127606, CA","06037127606","=""06037127606""","14.26"
"06037533601, CA","06037533601","=""06037533601""","14.48"
"06037404903, CA","06037404903","=""06037404903""","6.72"
"06037228310, CA","06037228310","=""06037228310""","27.30"
"06037570204, CA","06037570204","=""06037570204""","26.46"
"06037503104, CA","06037503104","=""06037503104""","15.04"
"06037576301, CA","06037576301","=""06037576301""","16.33"
"06037234502, CA","06037234502","=""06037234502""","35.03"
"06037104404, CA","06037104404","=""06037104404""","26.25"
"06037183300, CA","06037183300","=""06037183300""","12.45"
"06037221401, CA","06037221401","=""06037221401""","25.22"
"06037621102, CA","06037621102","=""06037621102""","3.67"
"06037229410, CA","06037229410","=""06037229410""","27.06"
"06037186403, CA","06037186403","=""06037186403""","17.25"
"06037201601, CA","06037201601","=""06037201601""","14.31"
"06037462201, CA","06037462201","=""06037462201""","26.51"
"06037302505, CA","06037302505","=""06037302505""","32.37"
"06037609900, CA","06037609900","=""06037609900""","11.68"
"06037213100, CA","06037213100","=""06037213100""","13.10"
"06037183220, CA","06037183220","=""06037183220""","15.44"
"06037104821, CA","06037104821","=""06037104821""","12.08"
"06037602002, CA","06037602002","=""06037602002""","13.97"
"06037239310, CA","06037239310","=""06037239310""","12.98"
"06037104620, CA","06037104620","=""06037104620""","24.21"
"06037104500, CA","06037104500","=""06037104500""","20.80"
"06037408724, CA","06037408724","=""06037408724""","8.63"
"06037296220, CA","06037296220","=""06037296220""","21.41"
"06037221402, CA","06037221402","=""06037221402""","25.78"
"06037192700, CA","06037192700","=""06037192700""","14.41"
"06037501804, CA","06037501804","=""06037501804""","29.50"
"06037192001, CA","06037192001","=""06037192001""","5.92"
"06037534405, CA","06037534405","=""06037534405""","22.25"
"06037195600, CA","06037195600","=""06037195600""","13.22"
"06037143603, CA","06037143603","=""06037143603""","5.61"
"06037228600, CA","06037228600","=""06037228600""","22.52"
"06037219901, CA","06037219901","=""06037219901""","23.15"
"06037271200, CA","06037271200","=""06037271200""","5.01"
"06037125502, CA","06037125502","=""06037125502""","10.20"
"06037532605, CA","06037532605","=""06037532605""","33.02"
"06037218500, CA","06037218500","=""06037218500""","18.87"
"06037186201, CA","06037186201","=""06037186201""","13.42"
"06037221602, CA","06037221602","=""06037221602""","21.02"
"06037232200, CA","06037232200","=""06037232200""","24.31"
"06037530902, CA","06037530902","=""06037530902""","30.38"
"06037480902, CA","06037480902","=""06037480902""","12.36"
"06037232120, CA","06037232120","=""06037232120""","29.26"
"06037241300, CA","06037241300","=""06037241300""","21.37"
"06037237402, CA","06037237402","=""06037237402""","20.47"
"06037231800, CA","06037231800","=""06037231800""","22.13"
"06037600703, CA","06037600703","=""06037600703""","9.50"
"06037183620, CA","06037183620","=""06037183620""","16.40"
"06037204910, CA","06037204910","=""06037204910""","31.25"
"06037310701, CA","06037310701","=""06037310701""","37.87"
"06037203200, CA","06037203200","=""06037203200""","22.26"
"06037237401, CA","06037237401","=""06037237401""","20.91"
"06037294510, CA","06037294510","=""06037294510""","19.65"
"06037228900, CA","06037228900","=""06037228900""","35.29"
"06037183402, CA","06037183402","=""06037183402""","11.94"
"06037534101, CA","06037534101","=""06037534101""","19.41"
"06037462001, CA","06037462001","=""06037462001""","22.62"
"06037650604, CA","06037650604","=""06037650604""","7.85"
"06037462002, CA","06037462002","=""06037462002""","27.97"
"06037302202, CA","06037302202","=""06037302202""","24.50"
"06037123520, CA","06037123520","=""06037123520""","10.30"
"06037576801, CA","06037576801","=""06037576801""","6.23"
"06037239502, CA","06037239502","=""06037239502""","19.02"
"06037433305, CA","06037433305","=""06037433305""","15.63"
"06037533804, CA","06037533804","=""06037533804""","14.59"
"06037534201, CA","06037534201","=""06037534201""","14.02"
"06037214902, CA","06037214902","=""06037214902""","9.71"
"06037272302, CA","06037272302","=""06037272302""","16.17"
"06037700502, CA","06037700502","=""06037700502""","6.51"
"06037121221, CA","06037121221","=""06037121221""","9.09"
"06037433401, CA","06037433401","=""06037433401""","22.19"
"06037302002, CA","06037302002","=""06037302002""","20.44"
"06037237600, CA","06037237600","=""06037237600""","33.90"
"06037531504, CA","06037531504","=""06037531504""","30.99"
"06037229300, CA","06037229300","=""06037229300""","24.16"
"06037650003, CA","06037650003","=""06037650003""","6.28"
"06037183510, CA","06037183510","=""06037183510""","12.01"
"06037123410, CA","06037123410","=""06037123410""","30.82"
"06037119320, CA","06037119320","=""06037119320""","9.72"
"06037302201, CA","06037302201","=""06037302201""","32.85"
"06037531102, CA","06037531102","=""06037531102""","29.77"
"06037102105, CA","06037102105","=""06037102105""","6.44"
"06037128801, CA","06037128801","=""06037128801""","7.54"
"06037700102, CA","06037700102","=""06037700102""","11.35"
"06037535501, CA","06037535501","=""06037535501""","9.73"
"06037190901, CA","06037190901","=""06037190901""","18.46"
"06037535804, CA","06037535804","=""06037535804""","20.06"
"06037601502, CA","06037601502","=""06037601502""","18.58"
"06037404803, CA","06037404803","=""06037404803""","19.10"
"06037121801, CA","06037121801","=""06037121801""","32.20"
"06037190902, CA","06037190902","=""06037190902""","13.64"
"06037203800, CA","06037203800","=""06037203800""","19.51"
"06037430723, CA","06037430723","=""06037430723""","5.40"
"06037190802, CA","06037190802","=""06037190802""","12.41"
"06037296902, CA","06037296902","=""06037296902""","17.10"
"06037183401, CA","06037183401","=""06037183401""","15.40"
"06037650605, CA","06037650605","=""06037650605""","6.52"
"06037601801, CA","06037601801","=""06037601801""","19.70"
"06037241110, CA","06037241110","=""06037241110""","28.68"
"06037239702, CA","06037239702","=""06037239702""","20.44"
"06037533402, CA","06037533402","=""06037533402""","23.35"
"06037533002, CA","06037533002","=""06037533002""","14.24"
"06037241201, CA","06037241201","=""06037241201""","29.61"
"06037575901, CA","06037575901","=""06037575901""","14.04"
"06037297110, CA","06037297110","=""06037297110""","18.81"
"06037195710, CA","06037195710","=""06037195710""","16.53"
"06037601802, CA","06037601802","=""06037601802""","13.23"
"06037271801, CA","06037271801","=""06037271801""","11.35"
"06037535002, CA","06037535002","=""06037535002""","13.78"
"06037222200, CA","06037222200","=""06037222200""","16.05"
"06037294520, CA","06037294520","=""06037294520""","13.80"
"06037301802, CA","06037301802","=""06037301802""","15.29"
"06037575103, CA","06037575103","=""06037575103""","16.43"
"06037571704, CA","06037571704","=""06037571704""","11.09"
"06037222100, CA","06037222100","=""06037222100""","22.52"
"06037533001, CA","06037533001","=""06037533001""","18.39"
"06037533401, CA","06037533401","=""06037533401""","17.90"
"06037242600, CA","06037242600","=""06037242600""","38.09"
"06037229100, CA","06037229100","=""06037229100""","25.17"
"06037121101, CA","06037121101","=""06037121101""","19.96"
"06037222001, CA","06037222001","=""06037222001""","11.10"
"06037239501, CA","06037239501","=""06037239501""","22.55"
"06037533403, CA","06037533403","=""06037533403""","20.62"
"06037554101, CA","06037554101","=""06037554101""","24.57"
"06037601501, CA","06037601501","=""06037601501""","17.80"
"06037231720, CA","06037231720","=""06037231720""","24.08"
"06037535502, CA","06037535502","=""06037535502""","15.41"
"06037212701, CA","06037212701","=""06037212701""","12.81"
"06037535605, CA","06037535605","=""06037535605""","14.53"
"06037238320, CA","06037238320","=""06037238320""","23.80"
"06037269800, CA","06037269800","=""06037269800""","5.23"
"06037481713, CA","06037481713","=""06037481713""","9.44"
"06037194401, CA","06037194401","=""06037194401""","6.08"
"06037125501, CA","06037125501","=""06037125501""","16.10"
"06037576802, CA","06037576802","=""06037576802""","8.55"
"06037275200, CA","06037275200","=""06037275200""","10.40"
"06037221302, CA","06037221302","=""06037221302""","28.60"
"06037237102, CA","06037237102","=""06037237102""","28.03"
"06037576601, CA","06037576601","=""06037576601""","11.08"
"06037701302, CA","06037701302","=""06037701302""","2.56"
"06037120104, CA","06037120104","=""06037120104""","26.17"
"06037183810, CA","06037183810","=""06037183810""","12.52"
"06037481714, CA","06037481714","=""06037481714""","20.48"
"06037267501, CA","06037267501","=""06037267501""","9.23"
"06037276603, CA","06037276603","=""06037276603""","4.03"
"06037224410, CA","06037224410","=""06037224410""","14.95"
"06037237201, CA","06037237201","=""06037237201""","13.55"
"06037480303, CA","06037480303","=""06037480303""","8.89"
"06037239201, CA","06037239201","=""06037239201""","19.52"
"06037535001, CA","06037535001","=""06037535001""","22.67"
"06037203900, CA","06037203900","=""06037203900""","19.08"
"06037228500, CA","06037228500","=""06037228500""","28.87"
"06037531602, CA","06037531602","=""06037531602""","21.42"
"06037481711, CA","06037481711","=""06037481711""","18.66"
"06037531202, CA","06037531202","=""06037531202""","18.86"
"06037234902, CA","06037234902","=""06037234902""","32.17"
"06037219800, CA","06037219800","=""06037219800""","19.65"
"06037573003, CA","06037573003","=""06037573003""","9.49"
"06037218120, CA","06037218120","=""06037218120""","21.57"
"06037229200, CA","06037229200","=""06037229200""","32.01"
"06037600304, CA","06037600304","=""06037600304""","21.70"
"06037530901, CA","06037530901","=""06037530901""","26.25"
"06037199900, CA","06037199900","=""06037199900""","20.05"
"06037576901, CA","06037576901","=""06037576901""","20.17"
"06037236202, CA","06037236202","=""06037236202""","27.93"
"06037535604, CA","06037535604","=""06037535604""","10.78"
"06037201200, CA","06037201200","=""06037201200""","12.15"
"06037219010, CA","06037219010","=""06037219010""","16.43"
"06037208302, CA","06037208302","=""06037208302""","26.01"
"06037227020, CA","06037227020","=""06037227020""","21.82"
"06037201503, CA","06037201503","=""06037201503""","17.51"
"06037297120, CA","06037297120","=""06037297120""","16.34"
"06037265201, CA","06037265201","=""06037265201""","9.42"
"06037601303, CA","06037601303","=""06037601303""","10.89"
"06037480304, CA","06037480304","=""06037480304""","16.04"
"06037127604, CA","06037127604","=""06037127604""","15.88"
"06037531502, CA","06037531502","=""06037531502""","20.94"
"06037267502, CA","06037267502","=""06037267502""","7.33"
"06037433306, CA","06037433306","=""06037433306""","8.56"
"06037127603, CA","06037127603","=""06037127603""","9.18"
"06037531603, CA","06037531603","=""06037531603""","24.34"
"06037237710, CA","06037237710","=""06037237710""","20.28"
"06037533805, CA","06037533805","=""06037533805""","16.56"
"06037575801, CA","06037575801","=""06037575801""","20.69"
"06037119310, CA","06037119310","=""06037119310""","20.50"
"06037218600, CA","06037218600","=""06037218600""","9.74"
"06037207301, CA","06037207301","=""06037207301""","21.45"
"06037267300, CA","06037267300","=""06037267300""","6.53"
"06037267402, CA","06037267402","=""06037267402""","5.21"
"06037433307, CA","06037433307","=""06037433307""","12.61"
"06037183520, CA","06037183520","=""06037183520""","9.41"
"06037226420, CA","06037226420","=""06037226420""","29.28"
"06037232800, CA","06037232800","=""06037232800""","20.70"
"06037191302, CA","06037191302","=""06037191302""","12.53"
"06037553503, CA","06037553503","=""06037553503""","19.17"
"06037535803, CA","06037535803","=""06037535803""","15.97"
"06037533501, CA","06037533501","=""06037533501""","17.98"
"06037185310, CA","06037185310","=""06037185310""","17.99"
"06037239601, CA","06037239601","=""06037239601""","15.04"
"06037264301, CA","06037264301","=""06037264301""","3.76"
"06037575101, CA","06037575101","=""06037575101""","15.23"
"06037207502, CA","06037207502","=""06037207502""","39.89"
"06037574700, CA","06037574700","=""06037574700""","N/A"
"06037191610, CA","06037191610","=""06037191610""","20.10"
"06037620201, CA","06037620201","=""06037620201""","4.75"
"06037139303, CA","06037139303","=""06037139303""","7.05"
"06037192610, CA","06037192610","=""06037192610""","12.82"
"06037128303, CA","06037128303","=""06037128303""","14.66"
"06037207102, CA","06037207102","=""06037207102""","36.95"
"06037122121, CA","06037122121","=""06037122121""","12.78"
